Id,tableId,rowIndex,status_bin,status_txt,predicted_prob,predicted_status_code,predicted_status_label,unresolved_probability,resolved_probability
48,02db9f91-572a-44af-9858-4add101353c1,6,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - Wetlands stable and consistent with previous assessments. - No erosion or subsidence issues. - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. - Dalmatian toadflax was not identified, 2015 issue resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.04189304 0.958107  ],1,Resolved,0.041893043,0.958107
49,02db9f91-572a-44af-9858-4add101353c1,7,,"July 13, 2016 - Watercourse is dammed up down-stream. Riparian area is stable. - No erosion or subsidence issues. - marker posts required for WC1 Sept 17, 2016 - Replaced marker posts at KP 0+900 and 1+000, west and east sides of watercourse crossing. Issue resolved.",[0.08301792 0.9169821 ],1,Resolved,0.08301792,0.9169821
50,02db9f91-572a-44af-9858-4add101353c1,8,,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. Limited vegetation issue noted in 2015 (KP 1+050 to 1+280), issue resolved. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. - Dalmatian toadflax was not identified, 2015 issue resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.03725027 0.9627497 ],1,Resolved,0.037250273,0.9627497
51,02db9f91-572a-44af-9858-4add101353c1,9,,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015. - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved.",[0.00948099 0.990519  ],1,Resolved,0.009480992,0.990519
52,02db9f91-572a-44af-9858-4add101353c1,10,,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - Wetlands stable and consistent with previous assessments. - No erosion or subsidence issues. - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.03285192 0.96714807],1,Resolved,0.032851923,0.96714807
53,02db9f91-572a-44af-9858-4add101353c1,11,,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - Wetlands stable and consistent with previous assessments. - No erosion or subsidence issues. - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.0313219 0.9686781],1,Resolved,0.031321898,0.9686781
54,02db9f91-572a-44af-9858-4add101353c1,12,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control perennial sow thistle. - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.02891568 0.9710843 ],1,Resolved,0.028915675,0.9710843
55,02db9f91-572a-44af-9858-4add101353c1,13,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved. - Intermittent herbicide application conducted to control perennial sow thistle. - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved. - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.00891417 0.9910858 ],1,Resolved,0.008914173,0.9910858
56,02db9f91-572a-44af-9858-4add101353c1,14,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved. - Intermittent herbicide application conducted to control perennial sow thistle. - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved. - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.00823758 0.9917624 ],1,Resolved,0.008237578,0.9917624
57,02db9f91-572a-44af-9858-4add101353c1,15,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved. - Intermittent herbicide application conducted to control perennial sow thistle. - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved. - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.00752499 0.992475  ],1,Resolved,0.007524986,0.992475
58,02db9f91-572a-44af-9858-4add101353c1,16,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved. - Intermittent herbicide application conducted to control perennial sow thistle. - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved. - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.0113257  0.98867434],1,Resolved,0.011325698,0.98867434
59,02db9f91-572a-44af-9858-4add101353c1,17,,"June 22, 2016 - Wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. Indicators noted on the right-of-way include: -·pre-construction contours restored; -·absence of excessive ponded water or impeded flow due to the construction right-of-way",[0.33067662 0.6693233 ],1,Resolved,0.33067662,0.6693233
60,02db9f91-572a-44af-9858-4add101353c1,18,,"July 13, 2016 – KP 3+300 - Watercourse is flowing. No issues. Erosion noted in 2015 is no longer evident, issue resolved. - Recommend silt fence removal and repairs to marker posts. - No erosion or subsidence issues. Sept 17, 2016 – Removed and disposed of silt fencing. Issue resolved. - Repaired marker posts and signs. Issue resolved.",[0.10869192 0.89130807],1,Resolved,0.10869192,0.89130807
61,02db9f91-572a-44af-9858-4add101353c1,19,,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses, shrubs and aquatic vegetation. - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile. - Dalmatian toadflax was not identified, 2015 issues resolved. - No erosion or subsidence issues. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. Intermittent herbicide application conducted to control perennial sow thistle.",[0.04845283 0.9515472 ],1,Resolved,0.04845283,0.9515472
65,02db9f91-572a-44af-9858-4add101353c1,23,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs.  - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile. - Dalmatian toadflax was not identified, 2015 issues resolved. - No erosion or subsidence issues. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Installed TC sign and marker posts at KP 4+800. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.11866655 0.8813334 ],1,Resolved,0.11866655,0.8813334
68,02db9f91-572a-44af-9858-4add101353c1,26,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses, shrubs and wetland vegetation.  - Wetland functioning well, consistent with previous assessments. - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile  - No erosion or subsidence issues. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.13414498 0.86585504],1,Resolved,0.13414498,0.86585504
69,02db9f91-572a-44af-9858-4add101353c1,27,,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015. - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved.",[0.00987078 0.9901292 ],1,Resolved,0.009870784,0.9901292
70,02db9f91-572a-44af-9858-4add101353c1,28,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 - Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle. - Dalmatian toadflax was not identified, 2015 issues resolved. - No erosion or subsidence issues. - Marker post down at KP 5+000 Sept 17, 2016 - Repaired marker posts at KP 5+000 foreign pipeline crossing.",[0.14729853 0.8527014 ],1,Resolved,0.14729853,0.8527014
71,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses and shrubs. - Straightened marker posts at KP0+120 and 0+160, issue resolved. - No subsidence or erosion issues were observed.  - KP 0+025 to 0+120 - Perennial sow thistle observed, recommend weed control. August 12, 2017 – KP 0+025 to 0+120 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle. Issue resolved. September 11, 2017 - Shrubby swamp on ROW from KP 0+140 to 0+300 appears to be at full functionality in comparison with off-ROW conditions. - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids with sporadic emergence of broadleaf shrubs. - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. - Substrate exhibiting dry substrate with a low organic content in the topsoil layer, comparing with off-ROW conditions. Dry substrate attributed to down sloping terrain to access road at KP 0+120. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",[0.05364236 0.94635767],1,Resolved,0.05364236,0.94635767
72,03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic vegetation. - No subsidence or erosion issues were observed.  - Perennial sow thistle (KP 0+300 to 0+975) and scentless chamomile (KP 0+400 to 0+475) observed, recommend weed control. August 12, 2017 – KP 0+300 to 0+975 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved.",[0.02444331 0.9755567 ],1,Resolved,0.024443308,0.9755567
73,03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,,"September 11, 2017 - Woody swamp on ROW from KP 0+430 to 0+710 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids with sporadic emergence of broadleaf shrubs. Density of broadleaf shrubs and trees increase on ROW at KP 0+660 to 0+710, comparing with off-ROW conditions. - No noxious weeds were identified in wetland.  - Trench crown present through wetland. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. - Substrate exhibiting semi-dry substrate with a low organic content in the topsoil layer, comparing with off-ROW conditions. Moisture and organic content in substrate increased moving down slope to the north with sphagnum moss establishment. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",[0.00563406 0.99436593],1,Resolved,0.0056340597,0.99436593
74,03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic vegetation. - No subsidence or erosion issues were observed.  - Straightened marker post at KP 1+340 and 1+390, issue resolved. - KP 0+980 to 1+250 - Perennial sow thistle observed, recommend weed control. August 12, 2017 – KP 0+980 to 1+250 – Intermittent herbicide application conducted to control perennial sow thistle and common tansy.  Issue resolved. September 11, 2017 - Woody swamp on ROW from KP 1+080 to 1+360 and 1+430 to 1+500 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, tamarack, black spruce, willow, aspen, poplar, Labrador tea and sphagnum moss. Hydrophytic vegetation emerging throughout wetland (common cattail). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and good organic content in topsoil layer. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. - Substrate exhibiting semi-saturated conditions, comparing with off-ROW.  - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed. - Woody/Shrubby swamp on ROW from KP 1+610 to 1+830 appears to be at full functionality. Area within wetland along pipeline ROW exhibiting high peat accumulation extending to the west from KP 1+730 to 1+760. - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, tamarack, black spruce, willow, aspen, poplar, Labrador tea and sphagnum moss. Hydrophytic vegetation emerging throughout wetland (common cattail & arrowhead). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and good organic content in topsoil layer. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. Peat accumulation occurring throughout wetland. - Substrate exhibiting semi-saturated conditions, comparing with off-ROW.  - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",[0.05353638 0.9464636 ],1,Resolved,0.053536378,0.9464636
75,03bfc26a-c6d0-4761-b8f5-47acf2290d02,5,,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic vegetation. - No subsidence or erosion issues were observed.  - KP 1+890 to 2+040 and KP 2+250 to 2+350 - Perennial sow thistle observed, recommend weed control. August 12, 2017 - KP 1+890 to 2+040 and KP 2+250 to 2+350 – Intermittent herbicide application conducted to control perennial sow thistle and tansy.  Issue resolved. September 11, 2017 – Woody swamp on ROW from KP 1+920 to 1+960 and 2+200 to 2+360 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, tamarack, black spruce, willow, aspen, poplar, Labrador tea and sphagnum moss. Hydrophytic vegetation emerging throughout wetland (common cattail). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and good organic content in topsoil layer. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. - Substrate exhibiting semi-saturated conditions, comparing with off-ROW.  - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",[0.04361189 0.95638806],1,Resolved,0.043611888,0.95638806
76,03bfc26a-c6d0-4761-b8f5-47acf2290d02,6,,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic vegetation. - No subsidence or erosion issues were observed.  - Perennial sow thistle (KP 2+650) and tansy (KP 2+680) observed, recommend weed control. - Straightened marker post at KP3+487. Issue resolved August 12, 2017 – Herbicide application conducted to control perennial sow thistle (KP 2+650) and tansy (KP 2+680). Issue resolved.",[0.03872542 0.9612746 ],1,Resolved,0.038725417,0.9612746
77,03bfc26a-c6d0-4761-b8f5-47acf2290d02,7,,"August 2, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Native grasses clover, vetch and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - Adjacent foreign ROW is covered in a high density of perennial sow thistle. - KP 3+500 to 3+575 - Perennial sow thistle and scentless chamomile (KP 3+500) observed, recommend weed control. August 12, 2017 - KP 3+500 to 3+575 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile. Issue resolved.",[0.06601061 0.9339894 ],1,Resolved,0.06601061,0.9339894
78,03bfc26a-c6d0-4761-b8f5-47acf2290d02,8,,"August 2, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Native grasses clover, vetch and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - Planted trees observed within tract are growing and have a low mortality rate. - Rollback Is present well vegetated and providing access control. Paralleling lines are allowing for access around our rollback.  - No erosion or subsidence present.  - Adjacent foreign ROW is covered in a high density of perennial sow thistle. - KP 3+575 – 4+100 - Perennial sow thistle and common tansy (KP 4+100) observed, recommend weed control. August 12, 2017 - KP 3+575 – 4+100 – Intermittent herbicide application conducted to control perennial sow thistle and tansy.  Issue resolved.",[0.00959587 0.9904041 ],1,Resolved,0.009595866,0.9904041
79,03bfc26a-c6d0-4761-b8f5-47acf2290d02,9,,"August 2, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Native grasses clover, vetch and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - Planted trees observed within tract are growing and have a low mortality rate. - No erosion or subsidence present.  - Adjacent foreign ROW is covered in a high density of perennial sow thistle  - KP 4+400 and 4+800 to 5+200 - Perennial sow thistle and common tansy (KP 5+100) observed, recommend weed control. August 12, 2017 - KP 4+400 and 4+800 to 5+200 – Intermittent herbicide application conducted to control perennial sow thistle and tansy. Issue resolved.",[0.01245583 0.9875442 ],1,Resolved,0.012455833,0.9875442
80,03bfc26a-c6d0-4761-b8f5-47acf2290d02,10,,"August 2, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Native grasses clover, vetch and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - No erosion or subsidence present.  - Adjacent foreign ROW is covered in a high density of perennial sow thistle  - KP 5+400 to 5+830 - Perennial sow thistle observed, recommend weed control. August 12, 2017 - KP 5+400 to 5+830 – Intermittent herbicide application conducted to control perennial sow thistle. Issue resolved.",[0.04417104 0.9558289 ],1,Resolved,0.044171043,0.9558289
81,03bfc26a-c6d0-4761-b8f5-47acf2290d02,11,,"August 2, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Grasses clover, vetch, common Labrador tea and willows establishing.  Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - No erosion or subsidence present.  - KP 6+100– 6+700 - Perennial sow thistle observed, recommend weed control. August 12, 2017 – KP 6+100 to 6+700 – Intermittent herbicide application conducted to control perennial sow thistle. Issue resolved.",[0.03351182 0.9664882 ],1,Resolved,0.033511817,0.9664882
82,03bfc26a-c6d0-4761-b8f5-47acf2290d02,12,,"August 2, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Grasses clover, vetch and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - No erosion or subsidence present.  - KP 7+150 and 7+640 sign and marker posts straightened and stabilized. Issue resolved. - KP 7+150 to 7+640 - Perennial sow thistle observed, recommend weed control. August 12, 2017 – KP 7+150 to 7+640 – Intermittent herbicide application conducted to control perennial sow thistle. Issue resolved.",[0.02938734 0.97061265],1,Resolved,0.029387344,0.97061265
83,03bfc26a-c6d0-4761-b8f5-47acf2290d02,13,,"August 2, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Grasses clover, vetch, Raspberry and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas. Good growth of Aspen and Willows. - No erosion or subsidence present.  - Planted coniferous trees are doing well good recent growth and low mortality rate.  - KP 7+850 to 8+300 - Perennial sow thistle observed, recommend weed control. August 13, 2017 – KP 7+850 to 8+300 – Intermittent herbicide application conducted to control perennial sow thistle. Issue resolved. September 11, 2017 - Woody swamp on ROW from KP 8+390 to 8+420 appears to be at full functionality. Wetland has been geographically assigned to hill slope resulting in dry conditions. - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, poplar, willow and alder with sporadic emergence of broadleaf shrubs - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth. Minimal humification occurring throughout wetland through decomposing vegetation litter, comparing with off-ROW conditions. - Substrate exhibiting dry substrate with a low organic content in the topsoil layer, comparing with off-ROW conditions. Dry substrate attributed to down sloping terrain. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",[0.03518447 0.96481556],1,Resolved,0.03518447,0.96481556
84,03bfc26a-c6d0-4761-b8f5-47acf2290d02,14,,"August 2, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Grasses clover, vetch, Raspberry and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - No erosion or subsidence present.  - No noxious weeds observed on tract.  August 13, 2017 – Intermittent herbicide application conducted to control perennial sow thistle. Issue resolved. September 11, 2017 - Woody swamp on ROW from KP 8+450 to 8+560 appears to be at full functionality. Wetland has been geographically assigned to hill slope resulting in dry conditions. - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, pine, poplar, willow and alder with sporadic emergence of broadleaf shrubs - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth. Minimal humification occurring throughout wetland through decomposing vegetation litter, comparing with off-ROW conditions. - Substrate exhibiting dry substrate with a low organic content in the topsoil layer, comparing with off-ROW conditions. Dry substrate attributed to down sloping terrain. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",[0.0197895 0.9802105],1,Resolved,0.019789498,0.9802105
