tableId,rowIndex,rowCounter,status_txt
02db9f91-572a-44af-9858-4add101353c1,6,7,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issue resolved."
02db9f91-572a-44af-9858-4add101353c1,6,8,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,6,9,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,7,1,"July 13, 2016 - Watercourse is dammed up down-stream. Riparian area is stable."
02db9f91-572a-44af-9858-4add101353c1,7,2,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,7,3,"July 13, 2016  - marker posts required for WC1 Sept 17, 2016 - Replaced marker posts at KP 0+900 and 1+000, west and east sides of watercourse crossing. Issue resolved."
02db9f91-572a-44af-9858-4add101353c1,8,1,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. Limited vegetation issue noted in 2015 (KP 1+050 to 1+280), issue resolved."
02db9f91-572a-44af-9858-4add101353c1,8,2,"July 13, 2016  - Cross drains are vegetated and functioning."
02db9f91-572a-44af-9858-4add101353c1,8,3,"July 13, 2016   - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,8,4,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,8,5,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issue resolved."
02db9f91-572a-44af-9858-4add101353c1,8,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,8,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,9,1,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015."
02db9f91-572a-44af-9858-4add101353c1,9,2,"Aug 23, 2016  - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved."
02db9f91-572a-44af-9858-4add101353c1,10,1,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed."
02db9f91-572a-44af-9858-4add101353c1,10,2,"July 13, 2016  - Cross drains are vegetated and functioning."
02db9f91-572a-44af-9858-4add101353c1,10,3,"July 13, 2016   - Wetlands stable and consistent with previous assessments."
02db9f91-572a-44af-9858-4add101353c1,10,4,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,10,5,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,10,6,"July 13, 2016  - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved."
02db9f91-572a-44af-9858-4add101353c1,10,7,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,10,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,11,1,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed."
02db9f91-572a-44af-9858-4add101353c1,11,2,"July 13, 2016  - Cross drains are vegetated and functioning."
02db9f91-572a-44af-9858-4add101353c1,11,3,"July 13, 2016   - Wetlands stable and consistent with previous assessments."
02db9f91-572a-44af-9858-4add101353c1,11,4,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,11,5,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,11,6,"July 13, 2016  - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved."
02db9f91-572a-44af-9858-4add101353c1,11,7,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,11,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,12,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,12,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed."
02db9f91-572a-44af-9858-4add101353c1,12,3,"July 13, 2016  - Cross drains are vegetated and functioning."
02db9f91-572a-44af-9858-4add101353c1,12,4,"July 13, 2016   - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,12,5,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,12,6,"July 13, 2016  - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved."
02db9f91-572a-44af-9858-4add101353c1,12,7,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,12,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,13,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,13,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved."
02db9f91-572a-44af-9858-4add101353c1,13,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,13,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved."
02db9f91-572a-44af-9858-4add101353c1,13,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved."
02db9f91-572a-44af-9858-4add101353c1,13,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,13,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,14,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,14,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved."
02db9f91-572a-44af-9858-4add101353c1,14,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,14,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved."
02db9f91-572a-44af-9858-4add101353c1,14,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved."
02db9f91-572a-44af-9858-4add101353c1,14,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,14,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,15,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,15,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved."
02db9f91-572a-44af-9858-4add101353c1,15,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,15,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved."
02db9f91-572a-44af-9858-4add101353c1,15,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved."
02db9f91-572a-44af-9858-4add101353c1,15,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,15,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,16,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,16,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved."
02db9f91-572a-44af-9858-4add101353c1,16,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,16,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved."
02db9f91-572a-44af-9858-4add101353c1,16,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved."
02db9f91-572a-44af-9858-4add101353c1,16,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,16,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,17,1,"June 22, 2016 - Wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. Indicators noted on the right-of-way include: -·pre-construction contours restored; -·absence of excessive ponded water or impeded flow due to the construction right-of-way."
02db9f91-572a-44af-9858-4add101353c1,18,1,"July 13, 2016 – KP 3+300 - Watercourse is flowing. No issues. Erosion noted in 2015 is no longer evident, issue resolved."
02db9f91-572a-44af-9858-4add101353c1,18,2,"July 13, 2016  - Recommend silt fence removal and repairs to marker posts."
02db9f91-572a-44af-9858-4add101353c1,18,3,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,18,4,"Sept 17, 2016 – Removed and disposed of silt fencing. Issue resolved."
02db9f91-572a-44af-9858-4add101353c1,18,5,"Sept 17, 2016  - Repaired marker posts and signs. Issue resolved."
02db9f91-572a-44af-9858-4add101353c1,19,1,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses, shrubs and aquatic vegetation."
02db9f91-572a-44af-9858-4add101353c1,19,2,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile."
02db9f91-572a-44af-9858-4add101353c1,19,3,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issues resolved."
02db9f91-572a-44af-9858-4add101353c1,19,4,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,19,5,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW. Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,20,1,.
02db9f91-572a-44af-9858-4add101353c1,21,1,.
02db9f91-572a-44af-9858-4add101353c1,22,1,.
02db9f91-572a-44af-9858-4add101353c1,23,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,23,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs."
02db9f91-572a-44af-9858-4add101353c1,23,3,"July 13, 2016   - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile."
02db9f91-572a-44af-9858-4add101353c1,23,4,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issues resolved."
02db9f91-572a-44af-9858-4add101353c1,23,5,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,23,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,23,7,"Sept 17, 2016  - Installed TC sign and marker posts at KP 4+800."
02db9f91-572a-44af-9858-4add101353c1,23,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,24,1,.
02db9f91-572a-44af-9858-4add101353c1,25,1,.
02db9f91-572a-44af-9858-4add101353c1,26,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,26,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses, shrubs and wetland vegetation."
02db9f91-572a-44af-9858-4add101353c1,26,3,"July 13, 2016   - Wetland functioning well, consistent with previous assessments."
02db9f91-572a-44af-9858-4add101353c1,26,4,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,26,5,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,26,6,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,27,1,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015."
02db9f91-572a-44af-9858-4add101353c1,27,2,"Aug 23, 2016  - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved."
02db9f91-572a-44af-9858-4add101353c1,28,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,28,2,"July 13, 2016 - Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs."
02db9f91-572a-44af-9858-4add101353c1,28,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,28,4,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issues resolved."
02db9f91-572a-44af-9858-4add101353c1,28,5,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,28,6,"July 13, 2016  - Marker post down at KP 5+000 Sept 17, 2016 - Repaired marker posts at KP 5+000 foreign pipeline crossing."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,1,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses and shrubs."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,2,"August 2, 2017  - Straightened marker posts at KP0+120 and 0+160, issue resolved."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,3,"August 2, 2017  - No subsidence or erosion issues were observed."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,4,"August 2, 2017   - KP 0+025 to 0+120 - Perennial sow thistle observed, recommend weed control."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,5,"August 12, 2017 – KP 0+025 to 0+120 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle. Issue resolved."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,6,"September 11, 2017 - Shrubby swamp on ROW from KP 0+140 to 0+300 appears to be at full functionality in comparison with off-ROW conditions."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,7,"September 11, 2017  - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids with sporadic emergence of broadleaf shrubs."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,8,"September 11, 2017  - No noxious weeds were identified in wetland."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,9,"September 11, 2017   - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,10,"September 11, 2017  - Substrate in wetland appears healthy through uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,11,"September 11, 2017  - Substrate exhibiting dry substrate with a low organic content in the topsoil layer, comparing with off-ROW conditions. Dry substrate attributed to down sloping terrain to access road at KP 0+120."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,12,"September 11, 2017  - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,13,"September 11, 2017  - Wetland has achieved pre-construction contours. off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,1,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic vegetation."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,2,"August 2, 2017  - No subsidence or erosion issues were observed."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,3,"August 2, 2017   - Perennial sow thistle (KP 0+300 to 0+975) and scentless chamomile (KP 0+400 to 0+475) observed, recommend weed control."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,4,"August 12, 2017 – KP 0+300 to 0+975 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile. Issue resolved."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,1,"September 11, 2017 - Woody swamp on ROW from KP 0+430 to 0+710 appears to be at full functionality."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,2,"September 11, 2017  - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids with sporadic emergence of broadleaf shrubs. Density of broadleaf shrubs and trees increase on ROW at KP 0+660 to 0+710, comparing with off-ROW conditions."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,3,"September 11, 2017  - No noxious weeds were identified in wetland."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,4,"September 11, 2017   - Trench crown present through wetland. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,5,"September 11, 2017  - Substrate in wetland appears healthy through uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,6,"September 11, 2017  - Substrate exhibiting semi-dry substrate with a low organic content in the topsoil layer, comparing with off-ROW conditions. Moisture and organic content in substrate increased moving down slope to the north with sphagnum moss establishment."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,7,"September 11, 2017  - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,8,"September 11, 2017  - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,1,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic vegetation."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,2,"August 2, 2017  - No subsidence or erosion issues were observed."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,3,"August 2, 2017   - Straightened marker post at KP 1+340 and 1+390, issue resolved."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,4,"August 2, 2017  - KP 0+980 to 1+250 - Perennial sow thistle observed, recommend weed control."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,5,"August 12, 2017 – KP 0+980 to 1+250 – Intermittent herbicide application conducted to control perennial sow thistle and common tansy. Issue resolved."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,6,"September 11, 2017 - Woody swamp on ROW from KP 1+080 to 1+360 and 1+430 to 1+500 appears to be at full functionality."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,7,"September 11, 2017  - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, tamarack, black spruce, willow, aspen, poplar, Labrador tea and sphagnum moss. Hydrophytic vegetation emerging throughout wetland (common cattail)."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,8,"September 11, 2017  - No noxious weeds were identified in wetland."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,9,"September 11, 2017   - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,10,"September 11, 2017  - Substrate in wetland appears healthy through uniform vegetation growth and good organic content in topsoil layer. Humification occurring throughout wetland through large amounts of decomposing vegetation litter."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,11,"September 11, 2017  - Substrate exhibiting semi-saturated conditions, comparing with off-ROW."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,12,"September 11, 2017   - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,13,"September 11, 2017  - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,14,"September 11, 2017  - Woody/Shrubby swamp on ROW from KP 1+610 to 1+830 appears to be at full functionality. Area within wetland along pipeline ROW exhibiting high peat accumulation extending to the west from KP 1+730 to 1+760."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,15,"September 11, 2017  - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, tamarack, black spruce, willow, aspen, poplar, Labrador tea and sphagnum moss. Hydrophytic vegetation emerging throughout wetland (common cattail & arrowhead)."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,16,"September 11, 2017  - No noxious weeds were identified in wetland."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,17,"September 11, 2017   - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,18,"September 11, 2017  - Substrate in wetland appears healthy through uniform vegetation growth and good organic content in topsoil layer. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. Peat accumulation occurring throughout wetland."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,19,"September 11, 2017  - Substrate exhibiting semi-saturated conditions, comparing with off-ROW."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,20,"September 11, 2017   - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,21,"September 11, 2017  - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed."
03bfc26a-c6d0-4761-b8f5-47acf2290d02,5,1,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic vegetation."
