tableId,rowIndex,status_bin,status_txt,status,status_code
0c200808-9563-467f-b74f-2d4b73c53fc4,54,U,Hand pullmonitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,56,U,Verify the location subsidence was observed and monitor in 2019 if warranted.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,57,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,58,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,60,U,Spot spray weeds as required and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,62,U,Control weeds as required and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,63,U,"Confirm the exact location of subsidence. Provide UTM coordinates for field crews to assess in 2019. Repair if warranted. If repair work is required, schedule repairs when feasible.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,65,U,Spot spray weeds as required and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,67,U,"Control weeds on ROW as well as adjacent ROW to avoid further encroachment. Monitor in 2019. If spot spraying is not permitted mechanical control (that is, mowing) or handpicking may be required.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,71,R,"This issue is resolved for ETH and Line 2; however, weeds should be controlled on adjacent Enbridge ROW to avoid encroachment.",Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,72,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,75,U,Reseed and monitor for weed regrowth and vegetation establishment in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,76,U,Monitor in 2019 to ensure it does not into a subsidence issue.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,83,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,84,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,86,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,87,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,88,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,89,U,"IConfirm exact location of low areas, repair if warranted, provide UTM coordinates for field crews to assess in 2019. Repair at subsided area KP 29.470, reseed and monitor in 2019. f repair work is required, schedule repairs when feasible.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,90,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,92,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,93,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,94,R,Control weeds on adjacent Enbridge ROW to avoid future encroachment. Weed issue does not appear to be related to ETH or Line 2 and is therefore it is resolved.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,96,U,Control weeds and monitor in 2019. Minimize traffic along ROW to allow for vegetation to re-establish along trail and outcompete future weeds.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,97,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,98,U,Control weeds and monitor in 2019. Minimize traffic along ROW to allow for vegetation to re-establish along trail and outcompete future weeds.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,99,R,Areas of bare soils due to tractor/off-road vehicle use are not related to ETH/Line 2 reclamation.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,100,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,102,U,Hand pull weeds in wetland at KP 33.5. Monitor weeds in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,107,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,108,U,Monitor for increased vegetation establishment in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,109,U,Monitor in 2019 to ensure weeds were successfully controlled.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,111,U,Monitor in 2019 to ensure weeds were successfully controlled.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,112,U,Monitor for increased vegetation establishment in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,113,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,114,U,Monitor in 2019. to ensure vegetation has outcompeted weeds.  Spraying is not recommended at this time.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,115,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,116,U,Spot spray weeds and monitor in 2019. Broadcast spray is not recommended due to presence of alfalfa.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,118,U,Monitor in 2019 to ensure issue does not get worse.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,119,U,Monitor in 2019 to ensure that vegetation has outcompeted weeds.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,121,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,122,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,123,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,124,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,125,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,127,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,130,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,131,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,138,U,Seed and monitor vegetation establishment in 2018.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,139,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,140,R,See above,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,141,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,147,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,148,U,Monitor weeds and vegetation establishment in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,149,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,150,U,Control weeds and monitor in 2019.  Recent repair work conducted adjacent to ROW. Monitor to ensure there is no weed encroachment.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,151,U,Control weeds and monitor vegetation establishment in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,152,U,Control weeds and monitor vegetation establishment in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,153,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,158,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,160,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,164,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,165,U,Monitor crop growth in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,170,U,Monitor crop growth in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,171,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,172,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,173,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,174,U,"Monitor crop growth after additional growing season in 2019. If issues are observed in 2019, source additional topsoil at that time.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,178,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,179,U,Monitor vegetation establishment over wetland in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,180,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,181,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,182,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,184,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,186,U,No immediate hazard.  Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,189,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,192,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,196,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,197,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,198,U,EMonitor in 2019. Repair subsidence when feasible. nbridge will inspect for hydrovac hole and repair if required.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,201,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,202,U,Remove straw logs at wetland.  Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,204,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,206,U,Monitor in 2019. Repair subsidence when feasible..,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,207,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,208,U,An additional growing season may alleviate vegetation establishment and out compete the weeds.  Weeds were recently sprayed prior to assessment.  Monitor in 2019 to confirm if weed control was successful.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,211,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,213,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,217,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,218,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,220,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,222,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,223,U,Monitor subsidence in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,224,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,225,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,226,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,227,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,228,U,Spot spray weeds and monitor in 2018.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,229,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,230,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,231,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,232,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,233,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,236,U,"Monitor in 2019. If crop growth parameters do not improve, sourcing additional topsoil may be required.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,237,U,"Monitor in 2019. If crop growth parameters do not improve, sourcing additional topsoil may be required.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,238,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,239,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,241,U,Monitor in 2019 to ensure vegetation has come back and weed control was effective.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,243,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,244,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,246,U,Monitor weeds in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,250,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,251,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,252,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,253,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,255,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,256,U,Mow and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,257,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,258,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,259,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,260,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,261,R,Farming practices may alleviate subsidence.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,262,R,Farming practices may alleviate subsidence.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,264,U,"Confirm location of drainage issue and if this is ETH related. If drainage issue is related to ETH, if warranted, recontour and monitor in 2019. If repair work is required, schedule repairs when feasible.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,265,U,Monitor subsidence in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,266,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,271,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,274,R,Remove silt fence and straw logs from field edges.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,275,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,276,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,277,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,278,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,279,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,282,U,Monitor in 2019,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,284,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,286,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,288,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,290,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,291,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,293,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,295,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,296,U,Monitor in 2019. Recontour when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,297,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,301,U,"Prior to removal of erosion and sediment control products, monitor soil stability and vegetation establishment around wetland in 2019.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,302,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,305,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,306,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,307,R,Repair work is recommended. Landowner will be compensated by Enbridge  and will complete their own repair work. Therefore this location is resolved.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,308,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,309,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,311,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,312,R,Repair work is recommended. Landowner will be compensated by Enbridge  and will complete their own repair work. Therefore this location is resolved.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,313,R,Repair work is recommended. Landowner will be compensated by Enbridge  and will complete their own repair work. Therefore this location is resolved.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,315,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,319,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,321,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,322,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,324,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,330,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,333,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,335,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,338,U,Monitor in 2019. Recontour and reseed when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,339,U,Monitor in 2019. Recontour and reseed when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,340,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,346,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,349,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,350,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,351,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,352,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,353,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,357,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,358,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,359,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,360,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,361,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,363,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,365,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,368,U,Monitor in 2019 to ensure that repair work was effective and associated crop establishment is successful.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,369,U,Monitor in 2019 to ensure that repair work was effective and that crop establishment is successful.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,370,U,"IAssess and repair subsidence if warranted. Monitor in 2019. f repair work is required, schedule repairs when feasible.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,371,U,"IAssess and repair subsidence if warranted. Monitor in 2019. f repair work is required, schedule repairs when feasible.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,372,U,"IAssess and repair subsidence if warranted. Monitor in 2019. f repair work is required, schedule repairs when access is available with maintenance activities.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,374,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,375,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,376,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,377,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,378,U,"IConsult with landowner exact location of subsidence and confirm if it is an ETH issue. Repair if warranted. Monitor in 2019. f repair work is required, schedule repairs when feasible.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,379,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,380,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,381,U,Monitor subsidence in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,382,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,383,U,Farming practices may alleviate cracked soil and potential subsidence. Monitor in 2019 to ensure area has not subsided.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,385,U,Remove silt fence and repair contouring. Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,386,U,"Remove silt fence, hand pull weeds. Monitor in 2019.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,387,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,388,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,390,U,"IConsult with landowner and verify location of subsidence and if it is over ETH ROW. Repair if warranted and monitor in 2019. f repair work is required, schedule repairs when feasible.",Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,391,U,Spot spray and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,392,U,Spot spray and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,393,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,394,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,397,U,Monitor in 2019 to verify weed issue has been successfully resolved.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,400,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,403,U,Mow or hand pull weeds. Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,404,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,405,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,406,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,407,U,Spot spray and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,413,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,414,U,Monitor in 2019. Add topsoil and recontour when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,415,U,Monitor in 2019. Add topsoil and recontour when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,416,U,Monitor in 2019. Add topsoil and recontour when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,417,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,418,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,419,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,420,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,421,U,Spot spray nodding thistle and common tansy.  Nodding thistle must be eliminated on and off ROW to avoid future encroachment.  Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,422,U,Spot spray nodding thistle and common tansy.  Nodding thistle must be eliminated on and off ROW to avoid future encroachment.  Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,425,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,427,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,428,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,429,U,Monitor in 2019. Recontour when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,431,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,432,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,433,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,434,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,435,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,436,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,437,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,438,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,439,U,Assess in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,440,U,Assess in 2019.,Unresolved,0
